codigo;descripcion_aperturas;clasificador;periodo;indice_ipc;v_m_ipc;v_i_a_ipc;region
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
12.1;Cuidado personal;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
12.1;Cuidado personal;Grupos;2016-12-01;100,0000;NA;NA;Noreste
12.1;Cuidado personal;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
12.1;Cuidado personal;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
12.1;Cuidado personal;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
01.1.1;Pan y cereales;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.1.1;Pan y cereales;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.1.1;Pan y cereales;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.1.1;Pan y cereales;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.1.1;Pan y cereales;Clase;2016-12-01;100,0000;NA;NA;Patagonia
01.1.2;Carnes y derivados;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.1.2;Carnes y derivados;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.1.2;Carnes y derivados;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.1.2;Carnes y derivados;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.1.2;Carnes y derivados;Clase;2016-12-01;100,0000;NA;NA;Patagonia
01.1.4;Leche, productos lácteos y huevos;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.1.4;Leche, productos lácteos y huevos;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.1.4;Leche, productos lácteos y huevos;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.1.4;Leche, productos lácteos y huevos;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.1.4;Leche, productos lácteos y huevos;Clase;2016-12-01;100,0000;NA;NA;Patagonia
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100,0000;NA;NA;Patagonia
01.1.6;Frutas;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.1.6;Frutas;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.1.6;Frutas;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.1.6;Frutas;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.1.6;Frutas;Clase;2016-12-01;100,0000;NA;NA;Patagonia
01.1.7;Verduras, tubérculos y legumbres;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.1.7;Verduras, tubérculos y legumbres;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.1.7;Verduras, tubérculos y legumbres;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.1.7;Verduras, tubérculos y legumbres;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.1.7;Verduras, tubérculos y legumbres;Clase;2016-12-01;100,0000;NA;NA;Patagonia
